Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
79,1653.3,(166),64.4073,19.67,(13),6.22696,(128),['69-Tm-169_n-tot']
80,874.863,(96),62.8585,10.616,(51),6.36333,(124),['69-Tm-169_n-tot']
81,322.821,(38),62.8344,3.275,(149),11.8023,(27),['69-Tm-169_n-tot']
82,453.181,(51),60.6936,12.82,(37),7.60668,(86),['69-Tm-169_n-tot']
83,397.85,(46),59.2123,7.64,(76),4.93036,(164),['69-Tm-169_n-tot']
84,553.145,(60),58.0639,5.0,(112),4.57246,(171),['69-Tm-169_n-tot']
85,886.198,(97),54.9726,7.151,(79),7.41043,(91),['69-Tm-169_n-tot']
86,1939.09,(188),52.6033,4.7,(119),8.04853,(76),['69-Tm-169_n-tot']
87,130.755,(18),52.0981,5.802,(99),6.11625,(134),['69-Tm-169_n-tot']
88,1031.84,(112),51.9898,8.17,(69),7.17047,(100),['69-Tm-169_n-tot']
89,992.496,(107),50.5784,6.247,(90),5.11046,(157),['69-Tm-169_n-tot']
90,1314.06,(140),49.2266,7.92,(73),7.25207,(98),['69-Tm-169_n-tot']
91,1538.36,(159),49.0527,17.27,(21),7.38735,(93),['69-Tm-169_n-tot']
92,824.328,(90),48.3655,17.239,(22),5.43059,(154),['69-Tm-169_n-tot']
93,628.191,(69),48.0072,4.078,(127),7.93604,(80),['69-Tm-169_n-tot']
94,639.387,(70),47.4052,8.98,(66),6.4896,(121),['69-Tm-169_n-tot']
95,133.267,(19),46.8283,2.702,(160),5.81807,(142),['69-Tm-169_n-tot']
96,94.9959,(13),46.466,0.5912,(187),54.9043,(4),['69-Tm-169_n-tot']
97,1811.8,(178),45.1635,10.25,(53),8.93499,(55),['69-Tm-169_n-tot']
98,235.203,(28),44.9401,9.379,(62),2.89277,(191),['69-Tm-169_n-tot']
99,1092.69,(120),44.4769,6.18,(91),6.07197,(138),['69-Tm-169_n-tot']
100,465.226,(53),44.0806,6.091,(94),6.17087,(131),['69-Tm-169_n-tot']
101,1570.3,(161),43.0043,12.21,(39),8.11217,(74),['69-Tm-169_n-tot']
102,211.166,(25),42.3363,2.942,(159),5.01026,(160),['69-Tm-169_n-tot']
