Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
273,2939.17,(308),3.28581,8.58,(218),5.34424,(353),['48-Cd-112_n-tot']
274,375.325,(52),3.25614,5.101,(328),4.03311,(561),['48-Cd-110_n-tot']
275,2825.28,(302),3.25307,5.32,(321),6.21714,(182),['48-Cd-112_n-tot']
276,2234.46,(259),3.25191,6.43,(276),4.8192,(456),['48-Cd-112_n-tot']
277,2156.63,(253),3.2498,9.53,(203),5.59713,(309),['48-Cd-111_n-tot']
278,3903.21,(375),3.17925,14.3,(125),5.62152,(306),['48-Cd-112_n-tot']
279,6510.74,(512),3.15828,17.77,(92),5.91062,(244),['48-Cd-110_n-tot']
280,4813.55,(437),3.13417,4.4,(349),6.50709,(144),['48-Cd-106_n-tot']
281,7687.93,(544),3.12613,19.93,(85),6.6972,(125),['48-Cd-114_n-tot']
282,5290.7,(462),3.09652,2.89,(430),8.18331,(36),['48-Cd-110_n-tot']
283,628.212,(90),3.0712,4.001,(373),4.73049,(476),['48-Cd-113_n-tot']
284,6253.81,(502),3.04546,10.22,(184),6.20801,(184),['48-Cd-110_n-tot']
285,6540.93,(514),3.02044,6.03,(292),5.62567,(304),['48-Cd-112_n-tot']
286,1818.42,(216),3.0083,2.89,(431),4.67997,(485),['48-Cd-111_n-tot']
287,3858.74,(372),3.00597,9.76,(196),6.03915,(221),['48-Cd-112_n-tot']
288,212.829,(33),3.00513,1.934,(492),4.50564,(522),['48-Cd-113_n-tot']
289,4189.35,(394),2.9614,5.82,(301),5.24928,(372),['48-Cd-113_n-tot']
290,4146.47,(391),2.95724,15.32,(113),5.51601,(328),['48-Cd-112_n-tot']
291,1854.12,(219),2.94415,9.88,(190),4.76485,(468),['48-Cd-116_n-tot']
292,10259.2,(569),2.88319,203.6,(6),6.16063,(192),['48-Cd-112_n-tot']
293,4744.22,(431),2.87778,9.57,(201),5.68267,(290),['48-Cd-113_n-tot']
294,6859.79,(525),2.86833,28.39,(58),5.98174,(234),['48-Cd-114_n-tot']
295,5383.17,(466),2.826,9.95,(189),6.29304,(172),['48-Cd-108_n-tot']
296,4205.33,(396),2.82234,3.19,(407),6.50045,(146),['48-Cd-112_n-tot']
297,4485.92,(411),2.80449,3.01,(424),9.92541,(17),['48-Cd-112_n-tot']
298,6450.9,(509),2.69212,12.12,(148),6.29372,(171),['48-Cd-112_n-tot']
299,5298.08,(463),2.67187,2.24,(474),9.67065,(19),['48-Cd-116_n-tot']
300,79.6468,(14),2.63452,11.3946,(161),4.17451,(553),['48-Cd-112_n-tot']
301,3874.94,(373),2.6345,11.09,(166),5.80201,(268),['48-Cd-108_n-tot']
302,3261.82,(332),2.60654,16.63,(101),6.15792,(193),['48-Cd-113_n-tot']
303,6872.93,(526),2.60355,4.81,(341),6.81391,(114),['48-Cd-112_n-tot']
304,611.316,(88),2.59353,6.576,(266),4.52245,(520),['48-Cd-111_n-tot']
305,1602.36,(194),2.58427,3.89,(383),5.31369,(359),['48-Cd-111_n-tot']
306,5992.47,(495),2.5761,2.49,(460),10.4212,(15),['48-Cd-110_n-tot']
307,2137.59,(251),2.4927,1.99,(490),7.3233,(68),['48-Cd-114_n-tot']
