Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,182.416,(0),5594.91,4.353,(7),5083.32,(0),none
1,1193.09,(3),2454.21,8.34,(3),1014.77,(2),none
2,947.475,(2),2287.16,5.997,(5),1128.0,(1),none
3,2038.14,(5),1439.39,15.5,(0),503.94,(3),none
4,3042.2,(7),922.444,7.71,(4),298.795,(4),none
5,6430.2,(8),881.033,12.63,(1),188.857,(5),none
6,2860.92,(6),344.518,8.49,(2),126.957,(7),none
7,1318.0,(4),191.923,4.69,(6),102.852,(8),none
8,347.922,(1),161.911,4.316,(8),151.348,(6),none
