Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2536.5,(3),236.734,53.9,(1),13.6814,(1),none
1,230.044,(0),134.568,5.707,(7),100.331,(0),none
2,4484.47,(5),82.1391,68.64,(0),4.88083,(4),none
3,9815.41,(7),46.5907,41.77,(2),4.36585,(7),none
4,1363.1,(1),28.3365,10.17,(6),9.84498,(2),none
5,6281.01,(6),27.1927,14.43,(3),4.80844,(5),none
6,2323.43,(2),21.7718,12.75,(4),6.12145,(3),none
7,3585.39,(4),20.5799,12.71,(5),4.66723,(6),none
