Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,378.47,(1),268.843,2.967,(2),226.887,(1),['41-Nb-93_n-g']
1,194.25,(0),257.911,2.907,(3),277.985,(0),['41-Nb-93_n-g']
2,935.4,(3),203.617,4.831,(0),106.005,(2),['41-Nb-93_n-g']
3,741.4,(2),169.376,4.079,(1),102.481,(3),['41-Nb-93_n-g']
