Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,94.9,(0),1465.78,3.79,(4),1802.67,(0),none
1,184.4,(2),747.446,5.301,(2),573.603,(2),none
2,288.2,(3),567.174,4.696,(3),498.078,(3),none
3,140.2,(1),516.823,1.616,(7),882.316,(1),none
4,422.0,(4),315.758,3.648,(5),284.401,(4),none
5,513.5,(5),254.517,5.577,(1),161.2,(6),none
6,622.9,(7),213.803,6.056,(0),134.125,(7),none
7,557.4,(6),197.602,3.077,(6),171.816,(5),none
